image_name,prompt,part_id,seed,step,cfg,sampler,width,height,user_name,timestamp,image_nsfw,prompt_nsfw,prompt_length
5b3693f3-35bb-430a-9a42-308dd2e0bc06.png,mountain made of sushi rolls,51,2221009571,50,7.0,8,512,512,0094d2d9739c5fad9f7f515e22c10af4f4e9cfc967531f51a79c7ca3401baa25,2022-08-07 01:26:00+00:00,0.040419888,0.0011028638,5
db6351fa-1358-47b5-910a-b46ba288b888.png,cheese fries served at a 5 star restaurant,51,3502332676,50,7.0,8,512,512,0094d2d9739c5fad9f7f515e22c10af4f4e9cfc967531f51a79c7ca3401baa25,2022-08-07 03:07:00+00:00,0.04932929,0.0026732348,8
be456a43-e111-4d14-a689-f0ceb6c4b027.png,trail cam footage of SpongeBob squarepants,51,2193457407,50,7.0,8,512,512,00f2898e75e32135f3acf51bb2538c7369ec05f7cae3efff42f5c9133a648e1a,2022-08-07 02:25:00+00:00,0.045091573,0.012947929,6
d682f110-21b7-4cd4-9d78-057ff3b75afa.png,Donald trump ps2 game cover art ea sports,51,468588223,50,7.0,8,704,896,00f2898e75e32135f3acf51bb2538c7369ec05f7cae3efff42f5c9133a648e1a,2022-08-07 02:35:00+00:00,0.08154378,0.0007773467,8
04b8d947-4716-4dd2-906f-ff1d7381aa7b.png,"an impressionist painting of harambe in heaven, trending on artstation",51,490922719,50,7.0,8,512,512,00f2898e75e32135f3acf51bb2538c7369ec05f7cae3efff42f5c9133a648e1a,2022-08-07 02:38:00+00:00,0.14590517,0.0025760834,10
e89ec486-a569-4948-9608-eee7f45682fd.png,"Earth as a ringed planet, Hubble image, highly detailed, 8k",51,2724872164,50,7.0,8,512,512,0239ca6e4d670178756f2da0855e10464c76afeb98f9c4d65cfd695674d08a36,2022-08-07 03:19:00+00:00,0.059434425,0.00027798908,10
c455fe03-0d68-4237-b7f8-dcf532a35643.png,"toads on broadway, watercolor",51,1722532203,50,7.0,8,512,512,0239ca6e4d670178756f2da0855e10464c76afeb98f9c4d65cfd695674d08a36,2022-08-07 03:20:00+00:00,0.1111375,0.004038133,4
ba92bb24-b49e-4948-b7a1-39c1338e88fb.png,the taj mahal of india made literally out of cheese,51,2065054985,50,7.0,8,512,512,0239ca6e4d670178756f2da0855e10464c76afeb98f9c4d65cfd695674d08a36,2022-08-07 03:22:00+00:00,0.03532801,0.004108431,10
8d918758-47af-4e87-9535-709f49587c4d.png,"the future of ai, very realistic",51,4081598834,50,7.0,8,512,512,0239ca6e4d670178756f2da0855e10464c76afeb98f9c4d65cfd695674d08a36,2022-08-07 03:26:00+00:00,0.0677244,0.00041327256,6
fd64b05c-8ff9-4708-b537-3f36b9707595.png,"tesla cybertruck on mars, photorealistic, highly detailed",51,298361604,50,7.0,8,512,512,0239ca6e4d670178756f2da0855e10464c76afeb98f9c4d65cfd695674d08a36,2022-08-07 03:27:00+00:00,0.05336784,0.0019169883,7
